Date,113567.SH,123105.SZ,128145.SZ,128040.SZ,123060.SZ,123125.SZ,113525.SH,128029.SZ,123123.SZ,128022.SZ,128069.SZ,128015.SZ,110056.SH,123139.SZ,123110.SZ,113642.SH,110038.SH,128046.SZ,128073.SZ,123027.SZ,113635.SH,123137.SZ,118001.SH,113502.SH,123023.SZ,123062.SZ,123097.SZ,127048.SZ,113620.SH,123045.SZ,123086.SZ,123084.SZ,128139.SZ,123073.SZ,113548.SH,113630.SH,123070.SZ,113599.SH,128013.SZ,128107.SZ,110071.SH,127013.SZ,113541.SH,113568.SH,127003.SZ,113550.SH,118002.SH,113036.SH,123024.SZ,110066.SH,113026.SH,128093.SZ,128103.SZ,123111.SZ,128096.SZ,123042.SZ,128094.SZ,127011.SZ,128113.SZ,123043.SZ,128050.SZ,113034.SH,113009.SH,110034.SH,113536.SH,123053.SZ,113607.SH,113528.SH,123081.SZ,110051.SH,123074.SZ,113614.SH,113603.SH,123028.SZ,128057.SZ,113580.SH,123102.SZ,123069.SZ,110033.SH,110041.SH,128018.SZ,123047.SZ,123051.SZ,123068.SZ,113014.SH,113572.SH,123030.SZ,113612.SH,123079.SZ,128051.SZ,123094.SZ,113012.SH,113508.SH,123033.SZ,128064.SZ,113509.SH,123066.SZ,123007.SZ,113040.SH,113611.SH,128032.SZ,127023.SZ,113543.SH,123058.SZ,110065.SH,113041.SH,113559.SH,110031.SH,113564.SH,128126.SZ,113557.SH,110069.SH,113038.SH,128052.SZ,113029.SH,113590.SH,113592.SH,128028.SZ,113583.SH,127008.SZ,128112.SZ,128065.SZ,128010.SZ,123055.SZ,123017.SZ,128115.SZ,113587.SH,128110.SZ,113035.SH,113556.SH,113586.SH,113008.SH,113032.SH,113520.SH,128019.SZ,128104.SZ,128102.SZ,113562.SH,123026.SZ,113581.SH,123036.SZ,113553.SH,113555.SH,123032.SZ,113020.SH,113521.SH,128058.SZ,128099.SZ,113571.SH,128098.SZ,128067.SZ,128043.SZ,113028.SH,113544.SH,128092.SZ,113547.SH,113554.SH,123037.SZ,128084.SZ,110042.SH,113019.SH,123020.SZ,113031.SH,113514.SH,113518.SH,123041.SZ,128045.SZ,128086.SZ,113022.SH,123040.SZ,128088.SZ,113558.SH,128089.SZ,128059.SZ,113552.SH,128080.SZ,113551.SH,128077.SZ,128054.SZ,113515.SH,113511.SH,113503.SH,128012.SZ,113531.SH,123021.SZ,110050.SH,128055.SZ,113517.SH,128016.SZ,123019.SZ,113510.SH,113540.SH,110046.SH,123009.SZ,110054.SH,128038.SZ,123016.SZ,113539.SH,128061.SZ,113522.SH,113538.SH,128060.SZ,123003.SZ,113523.SH,128068.SZ,128020.SZ,113533.SH,110049.SH,110030.SH,113529.SH,113507.SH,128047.SZ,127009.SZ,123001.SZ,128027.SZ,127010.SZ,113015.SH,128024.SZ,110040.SH,113513.SH,113018.SH,123006.SZ,113506.SH,123008.SZ,113512.SH,110032.SH,113010.SH,123005.SZ,110039.SH,128011.SZ,128009.SZ,110035.SH,113501.SH,113007.SH,110023.SH,128007.SZ,128008.SZ,125089.SZ,126729.SZ,110029.SH,128002.SZ,128005.SZ,110012.SH,113006.SH,110011.SH,110019.SH,110028.SH,128006.SZ,110020.SH,113001.SH,110022.SH,110018.SH,110027.SH,113002.SH,110015.SH,110017.SH,127002.SZ,113005.SH,110025.SH,128004.SZ,110024.SH,113003.SH,128003.SZ,128001.SZ,110007.SH,110016.SH,125887.SZ,110003.SH,129031.SZ,125731.SZ,110009.SH
2017/1/3,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.567123288,6,6,6,6,6,5.42739726,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.057377049,5.038251366,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.838356164,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.446575342,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.156164384,6,6,6,6,6,6,6,6,4.081967213,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.293150685,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.975342466,6,6,6,6,2.783561644,6,6,6,6,6,6,6,6,6,6,6,2.224657534,2.131147541,6,6,0.597260274,0.487671233,0.44109589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.210958904,,,,,
2017/1/4,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.564383562,6,6,6,6,6,5.424657534,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.054644809,5.035519126,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.835616438,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.443835616,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.153424658,6,6,6,6,6,6,6,6,4.079234973,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.290410959,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.97260274,6,6,6,6,2.780821918,6,6,6,6,6,6,6,6,6,6,6,2.221917808,2.128415301,6,6,0.594520548,0.484931507,0.438356164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208219178,,,,,
2017/1/5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.561643836,6,6,6,6,6,5.421917808,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.051912568,5.032786885,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.832876712,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.44109589,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.150684932,6,6,6,6,6,6,6,6,4.076502732,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.287671233,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.969863014,6,6,6,6,2.778082192,6,6,6,6,6,6,6,6,6,6,6,2.219178082,2.12568306,6,6,0.591780822,0.482191781,0.435616438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205479452,,,,,
2017/1/6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.55890411,6,6,6,6,6,5.419178082,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.049180328,5.030054645,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.830136986,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.438356164,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.147945205,6,6,6,6,6,6,6,6,4.073770492,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.284931507,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.967123288,6,6,6,6,2.775342466,6,6,6,6,6,6,6,6,6,6,6,2.216438356,2.12295082,6,6,0.589041096,0.479452055,0.432876712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202739726,,,,,
2017/1/9,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.550684932,6,6,6,6,6,5.410958904,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.040983607,5.021857923,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.821917808,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.430136986,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.139726027,6,6,6,6,6,6,6,6,4.06557377,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.276712329,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.95890411,6,6,6,6,2.767123288,6,6,6,6,6,6,6,6,6,6,6,2.208219178,2.114754098,6,6,0.580821918,0.471232877,0.424657534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194520548,,,,,
2017/1/10,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.547945205,6,6,6,6,6,5.408219178,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.038251366,5.019125683,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.819178082,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.42739726,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.136986301,6,6,6,6,6,6,6,6,4.06284153,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.273972603,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.956164384,6,6,6,6,2.764383562,6,6,6,6,6,6,6,6,6,6,6,2.205479452,2.112021858,6,6,0.578082192,0.468493151,0.421917808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191780822,,,,,
2017/1/11,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.545205479,6,6,6,6,6,5.405479452,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.035519126,5.016393443,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.816438356,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.424657534,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.134246575,6,6,6,6,6,6,6,6,4.06010929,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.271232877,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.953424658,6,6,6,6,2.761643836,6,6,6,6,6,6,6,6,6,6,6,2.202739726,2.109289617,6,6,0.575342466,0.465753425,0.419178082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189041096,,,,,
2017/1/12,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.542465753,6,6,6,6,6,5.402739726,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.032786885,5.013661202,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.81369863,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.421917808,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.131506849,6,6,6,6,6,6,6,6,4.057377049,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.268493151,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.950684932,6,6,6,6,2.75890411,6,6,6,6,6,6,6,6,6,6,6,2.2,2.106557377,6,6,0.57260274,0.463013699,0.416438356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18630137,,,,,
2017/1/13,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.539726027,6,6,6,6,6,5.4,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.030054645,5.010928962,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.810958904,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.419178082,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.128767123,6,6,6,6,6,6,6,6,4.054644809,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.265753425,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.947945205,6,6,6,6,2.756164384,6,6,6,6,6,6,6,6,6,6,6,2.197260274,2.103825137,6,6,0.569863014,0.460273973,0.41369863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183561644,,,,,
2017/1/16,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.531506849,6,6,6,6,6,5.391780822,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.021857923,5.00273224,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.802739726,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.410958904,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.120547945,6,6,6,6,6,6,6,6,4.046448087,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.257534247,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.939726027,6,6,6,6,2.747945205,6,6,6,6,6,6,6,6,6,6,6,2.189041096,2.095628415,6,6,0.561643836,0.452054795,0.405479452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175342466,,,,,
2017/1/17,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.528767123,6,6,6,6,6,5.389041096,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.019125683,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.408219178,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.117808219,6,6,6,6,6,6,6,6,4.043715847,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.254794521,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.936986301,6,6,6,6,2.745205479,6,6,6,6,6,6,6,6,6,6,6,2.18630137,2.092896175,6,6,0.55890411,0.449315068,0.402739726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17260274,,,,,
2017/1/18,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.526027397,6,6,6,6,6,5.38630137,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.016393443,4.997260274,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.797260274,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.405479452,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.115068493,6,6,6,6,6,6,6,6,4.040983607,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.252054795,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.934246575,6,6,6,6,2.742465753,6,6,6,6,6,6,6,6,6,6,6,2.183561644,2.090163934,6,6,0.556164384,0.446575342,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169863014,,,,,
2017/1/19,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.523287671,6,6,6,6,6,5.383561644,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.013661202,4.994520548,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.794520548,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.402739726,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.112328767,6,6,6,6,6,6,6,6,4.038251366,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.249315068,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.931506849,6,6,6,6,2.739726027,6,6,6,6,6,6,6,6,6,6,6,2.180821918,2.087431694,6,6,0.553424658,0.443835616,0.397260274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167123288,,,,,
2017/1/20,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.520547945,6,6,6,6,6,5.380821918,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.010928962,4.991780822,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.791780822,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.4,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.109589041,6,6,6,6,6,6,6,6,4.035519126,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.246575342,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.928767123,6,6,6,6,2.736986301,6,6,6,6,6,6,6,6,6,6,6,2.178082192,2.084699454,6,6,0.550684932,0.44109589,0.394520548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164383562,,,,,
2017/1/23,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.512328767,6,6,6,6,6,5.37260274,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5.00273224,4.983561644,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.783561644,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.391780822,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.101369863,6,6,6,6,6,6,6,6,4.027322404,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.238356164,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.920547945,6,6,6,6,2.728767123,6,6,6,6,6,6,6,6,6,6,6,2.169863014,2.076502732,6,6,0.542465753,0.432876712,0.38630137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156164384,,,,,
2017/1/24,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.509589041,6,6,6,6,6,5.369863014,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4.980821918,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.780821918,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.389041096,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.098630137,6,6,6,6,6,6,6,6,4.024590164,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.235616438,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.917808219,6,6,6,6,2.726027397,6,6,6,6,6,6,6,6,6,6,6,2.167123288,2.073770492,6,6,0.539726027,0.430136986,0.383561644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153424658,,,,,
2017/1/25,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.506849315,6,6,6,6,6,5.367123288,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4.997260274,4.978082192,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.778082192,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.38630137,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.095890411,6,6,6,6,6,6,6,6,4.021857923,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.232876712,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.915068493,6,6,6,6,2.723287671,6,6,6,6,6,6,6,6,6,6,6,2.164383562,2.071038251,6,6,0.536986301,0.42739726,0.380821918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150684932,,,,,
2017/1/26,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.504109589,6,6,6,6,6,5.364383562,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4.994520548,4.975342466,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.775342466,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.383561644,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.093150685,6,6,6,6,6,6,6,6,4.019125683,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.230136986,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.912328767,6,6,6,6,2.720547945,6,6,6,6,6,6,6,6,6,6,6,2.161643836,2.068306011,6,6,0.534246575,0.424657534,0.378082192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147945205,,,,,
2017/2/3,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.482191781,6,6,6,6,6,5.342465753,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4.97260274,4.953424658,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.753424658,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.361643836,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.071232877,6,6,6,6,6,6,6,6,3.997260274,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.208219178,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.890410959,6,6,6,6,2.698630137,6,6,6,6,6,6,6,6,6,6,6,2.139726027,2.046448087,6,6,0.512328767,0.402739726,0.356164384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126027397,,,,,
2017/2/6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.473972603,6,6,6,6,6,5.334246575,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4.964383562,4.945205479,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.745205479,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.353424658,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.063013699,6,6,6,6,6,6,6,6,3.989041096,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.882191781,6,6,6,6,2.690410959,6,6,6,6,6,6,6,6,6,6,6,2.131506849,2.038251366,6,6,0.504109589,0.394520548,0.347945205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117808219,,,,,
2017/2/7,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.471232877,6,6,6,6,6,5.331506849,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4.961643836,4.942465753,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.742465753,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4.350684932,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4.060273973,6,6,6,6,6,6,6,6,3.98630137,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4.197260274,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.879452055,6,6,6,6,2.687671233,6,6,6,6,6,6,6,6,6,6,6,2.128767123,2.035519126,6,6,0.501369863,0.391780822,0.345205479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115068493,,,,,
